make_model,body_type,Body Color,km,hp,Gearing Type,Extras,price
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Black,87300,85,Automatic,Converter,14930
Audi A1,Sedans,White,86698,85,Automatic,Sport,14930
Audi A1,Sedans,Black,70000,85,Automatic,Others,14950
Audi A1,Sedans,Black,87300,85,Automatic,Converter,14930
Audi A1,Sedans,Red,115900,85,Automatic,Others,14900
Audi A1,Compact,Black,25000,85,Automatic,Sport,14850
Audi A1,Compact,White,58718,85,Automatic,Converter,14890
Audi A1,Compact,Red,35730,85,Automatic,Sport,14700
Audi A1,Sedans,Black,83450,85,Automatic,Others,14640
Audi A1,Sedans,Brown,75000,85,Automatic,Sport,14799
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Sedans,Black,58525,85,Automatic,Converter,16395
Audi A1,Sedans,Grey,37000,85,Automatic,Sport,16250
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Red,53000,85,Automatic,Sport,16290
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Grey,72761,85,Automatic,Sport,15998
Audi A1,Sedans,White,19000,85,Automatic,Sport,16000
Audi A1,Sedans,Black,19068,85,Automatic,Others,16150
Audi A1,Sedans,Black,11000,85,Automatic,Sport,16000
Audi A1,Compact,Brown,33200,85,Automatic,Sport,15993
Audi A1,Sedans,Red,45000,85,Automatic,Sport,15990
Audi A1,Compact,Black,42900,85,Automatic,Converter,15990
Audi A1,Sedans,Grey,52900,85,Automatic,Sport,15980
Audi A1,Compact,Grey,40500,85,Automatic,Converter,15590
Audi A1,Sedans,Grey,146140,85,Automatic,Sport,15990
Audi A1,Sedans,Black,44300,85,Automatic,Others,15980
Audi A1,Compact,Black,9300,85,Automatic,Others,15990
Audi A1,Compact,White,72192,85,Automatic,Sport,15980
Audi A1,Compact,Black,46123,85,Automatic,Sport,15990
Audi A1,Sedans,White,18150,85,Automatic,Others,15580
Audi A1,Sedans,Black,40528,85,Automatic,Others,15490
Audi A1,Compact,White,104000,85,Automatic,Others,15500
Audi A1,Sedans,Black,63473,85,Automatic,Others,15500
Audi A1,Compact,Grey,29950,85,Automatic,Sport,15490
Audi A1,Compact,White,24030,85,Automatic,Sport,15450
Audi A1,Compact,Black,36590,85,Automatic,Converter,15450
Audi A1,Compact,Black,25600,85,Automatic,Sport,15450
Audi A1,Compact,Blue,13776,85,Automatic,Sport,15444
Audi A1,Compact,Black,34400,85,Automatic,Converter,15960
Audi A1,Sedans,Black,34400,85,Automatic,Converter,15960
Audi A1,Compact,White,66844,85,Automatic,Sport,15930
Audi A1,Sedans,Grey,58000,85,Automatic,Others,15900
Audi A1,Sedans,White,40000,85,Automatic,Others,15900
Audi A1,Sedans,White,41500,85,Automatic,Others,15900
Audi A1,Compact,Black,43255,85,Automatic,Others,15425
Audi A1,Compact,Black,49351,85,Automatic,Sport,14990
Audi A1,Compact,Black,42023,85,Automatic,Others,15889
Audi A1,Sedans,Black,36950,85,Automatic,Sport,15970
Audi A1,Compact,White,106829,85,Automatic,Converter,15889
Audi A1,Sedans,Silver,49880,85,Automatic,Others,15880
Audi A1,Compact,Black,50272,85,Automatic,Sport,15850
Audi A1,Compact,Grey,69900,85,Automatic,Sport,15850
Audi A1,Sedans,Grey,19582,85,Automatic,Others,15800
Audi A1,Sedans,Blue,43954,85,Automatic,Converter,15790
Audi A1,Sedans,Red,32910,85,Automatic,Sport,15840
Audi A1,Sedans,Black,32814,85,Automatic,Converter,15790
Audi A1,Sedans,Black,59702,85,Automatic,Sport,15789
Audi A1,Compact,White,23211,85,Automatic,Others,15780
Audi A1,Compact,Black,97930,85,Manual,Converter,12170
Audi A1,Sedans,White,70000,85,Manual,Others,12490
Audi A1,Compact,Black,54392,85,Manual,Converter,12820
Audi A1,Sedans,White,73000,85,Manual,Others,11950
Audi A1,Sedans,Black,111380,85,Manual,Others,12480
Audi A1,Sedans,White,63350,85,Manual,Others,12480
Audi A1,Sedans,Black,129550,85,Manual,Sport,12480
Audi A1,Sedans,Black,28978,85,Manual,Others,12900
Audi A1,Sedans,Blue,61220,85,Manual,Others,13420
